id,name,description,properties,source,consumable,portion,value,imageurl,show,order,formula,NOTES
102,Claiomh Solais,Powerful sword once wielded by a paladin.  Contains the essence of sacred fire and is extremely effective against marathon beasts.,+2000 MP,1,0,1,0,claiomhsolais.png,0,102,0,
103,Aegis,Shield previously used by a paladin.  Very effective protection against various opponents.,Forces life 3,1,1,0,0,aegis.png,0,103,0,Forces life 3
104,Throne,"A strange, sentient-throne familiar.  Will come to your aid against marathon beasts.",Forces life 3,1,1,1,0,throne.png,0,104,0,Forces life 3
105,Perish,"Possesses abominable power, but carries great risk with its use.",+700 BP|Forces life 5,1,0,0,0,perish.png,0,105,700,Forces life 5
106,Champion Belt,Belt presented to the greatest champions of Stamina Nation.  Single use.,+100 BP|Allows user to equip one additional relic,1,1,0,0,championbelt.png,0,106,100,Allows user to equip one additional relic
107,Protect Ring,Onyx ring imbued with powerful magic that will protect your life.,Forces life 1,1,1,0,0,protectring.png,0,107,0,Forces life 1
108,Pandemonium Zero,"Forged by the Godfather in Chimney Rock on the Misty Moor, this weapon grows in strength alongside its wielder.",+BP based on Lifetime EXP (Max 250),1,0,0,0,pandemoniumzero.png,0,108,"ROUNDDOWN((USER LEVEL/100)*250,0)",
109,Bronze Trophy,The Stamina Corps awards these trophies to fledgling staminadventurers as thanks for their good deeds.,Access to #bronze-bistro on the <a href=http://www.staminanation.com/ target=_blank>Stamina Nation discord</a> (upon request),1,0,0,0,bronzetrophy.png,1,109,0,
110,Mythril Trophy,A trophy made from a rare metal.  Only given to those who have made substantial contributions to the Stamina Nation.,Access to #mythril-lounge on the <a href=http://www.staminanation.com/ target=_blank>Stamina Nation discord</a> (upon request),1,0,0,0,mythriltrophy.png,1,110,0,
111,Crystal Trophy,Awarded to high class staminadventurers for exceptional achievements.,Access to #crystal-cafe on the <a href=http://www.staminanation.com/ target=_blank>Stamina Nation discord</a> (upon request),1,0,0,0,crystaltrophy.png,1,111,0,
112,Ivory Trophy,Given only to the greatest staminadventurers across all the lands.,Access to #ivory-tower on the <a href=http://www.staminanation.com/ target=_blank>Stamina Nation discord</a> (upon request),1,0,0,0,ivorytrophy.png,0,112,0,
113,TPA Standard,A banner commonly flown in battle by TPA regiments.,"At end of set, +100 BP for each song with a 95% or higher",1,1,0,0,tpastandard.png,1,113,(COUNT OF PASS SCORES >= 95%)*100,100* count of scores 95% or higher at end of set
114,Scrupulous Shield,A kite shield featuring DPRT heraldry.  Enhanced by the accuracy of your attacks.,Lv. 2 AP Bonus,0,0,0,0,scrupulousshield.png,0,114,"ROUNDDOWN((AP*0.2),0)",
115,Virtue Blade,"This holy sword is bursting with righteous energy, but is only capable of being used to its fullest extent by a precise swordsman.",+100 BP if score is a 99% or higher|Lv. 3 AP Bonus,1,0,0,0,virtueblade.png,0,115,"ROUNDDOWN((AP*0.3),0)+IF(SCORE>=0.99,100,0)",
116,Astral Ring,Ring that possesses a magic enchantment to deter The Bois when you're facing marathon beasts.,WayOffs/Decents Off,1,1,1,0,astralring.png,0,116,0,WayOffs/Decents Off
117,Flawless Iluvatar ,"A divine blade passed down through generations of DPRT warriors, this perfect sword can only be truly harnessed by those who can wield it impeccably.",+200 BP if score is a 99% or higher|Lv.6 AP Bonus,1,0,0,0,flawlessiluvatar.png,0,117,"ROUNDDOWN((AP*0.6),0)+IF(SCORE>=0.99,200,0)",
118,Memepeace Beret,Standard-issue headwear for new Memepeace employees.,"At end of set, +100 BP for each song with a different speed tier 210 and above",1,1,0,0,memepeaceberet.png,1,118,"100*(IF(SUMPRODUCT(--($17:$17=210),--($12:$12>0)),1,0)+IF(SUMPRODUCT(--($17:$17=220),--($12:$12>0)),1,0)+IF(SUMPRODUCT(--($17:$17=230),--($12:$12>0)),1,0)+IF(SUMPRODUCT(--($17:$17=240),--($12:$12>0)),1,0)+IF(SUMPRODUCT(--($17:$17=250),--($12:$12>0)),1,0)+IF(SUMPRODUCT(--($17:$17=260),--($12:$12>0)),1,0)+IF(SUMPRODUCT(--($17:$17=270),--($12:$12>0)),1,0)+IF(SUMPRODUCT(--($17:$17=280),--($12:$12>0)),1,0)+IF(SUMPRODUCT(--($17:$17=290),--($12:$12>0)),1,0))",+100 for each speed tier represented among all passed songs above 200 (so 210 and all tiers above) at end of set
119,Alacritous Aspis,A small shield emblazoned with the colors of the Footspeed Empire.  Strongly effective against fast opponents.,Lv. 3 DP Bonus,1,0,0,0,alacritousaspis.png,0,119,"ROUNDDOWN((DP*0.3),0)",
120,Principia,A magically enhanced dagger that can be difficult to use.,+200 BP|Lv. 3 DP Bonus|Forces 1.02x rate,1,0,0,0,principia.png,0,120,"ROUNDDOWN((DP*0.3),0)+200",Forces 1.02x rate
121,Arvin's Gambit,Well-known set of playing cards from the Footspeed Empire.  Highly prized for their magical qualities.,"If equipped, and you fail the marathon, you may reattempt it immediately with up to 20 additional minutes to warm up/fix the pads.",1,1,1,0,arvinsgambit.png,0,121,0,"If equipped, and you fail the marathon, you may reattempt it immediately with up to 20 additional minutes to warm up/fix the pads."
122,Almagest,"Enchanted with magic that can bring forth concentrated hurricane-force winds, few are capable of wielding this ultimate dagger.",+500 BP|Lv. 7 DP Bonus|Forces 1.05x rate,1,0,0,0,almagest.png,0,122,"ROUNDDOWN((DP*0.7),0)+500",Forces 1.05x rate
123,Slime Badge,A cheaply made badge presented to you by the Stamina Corps for services rendered.,"At end of set, +100 BP for each song with a different speed tier 200 and below",1,1,0,0,slimebadge.png,1,123,"100*(IF(SUMPRODUCT(--($17:$17=120),--($12:$12>0)),1,0)+IF(SUMPRODUCT(--($17:$17=130),--($12:$12>0)),1,0)+IF(SUMPRODUCT(--($17:$17=140),--($12:$12>0)),1,0)+IF(SUMPRODUCT(--($17:$17=150),--($12:$12>0)),1,0)+IF(SUMPRODUCT(--($17:$17=160),--($12:$12>0)),1,0)+IF(SUMPRODUCT(--($17:$17=170),--($12:$12>0)),1,0)+IF(SUMPRODUCT(--($17:$17=180),--($12:$12>0)),1,0)+IF(SUMPRODUCT(--($17:$17=190),--($12:$12>0)),1,0)+IF(SUMPRODUCT(--($17:$17=200),--($12:$12>0)),1,0))",+100 for each speed tier represented among all passed songs below 210 (so up to and including 200) at end of set
124,Indefatigable Escutcheon,Shield bearing the coat of arms of the Stamina Nation.  Effective against large opponents.,Lv. 2 EP Bonus,1,0,0,0,indefatigableescutcheon.png,0,124,"ROUNDDOWN((EP*0.2),0)",
125,Vampiric Longsword,"Originally conferred unto those who sought to challenge a many-tentacled Horror, this weapon absorbs the lifeforce of your enemies.",+20 BP per minute of song length|9% of song length added to break timer,1,0,0,0,vampiriclongsword.png,0,125,"rounddown(LENGTH OF SONG*20,0)",9% of song length added to break timer
126,Faust's Scalpel,This massive scalpel has the ability to split marathon beasts in two.,"If equipped, the marathon is split into two parts, and you may take up to five minutes of break between them.",1,1,1,0,faustsscalpel.png,0,126,0,Add a way to look at pad inputs while the pause is in effect?
127,Muramasa,"An ancient and bloodthirsty weapon from Japan Coast Stamina, this katana's effectivity against large opponents is peerless.",+50 BP per minute of song length|18% of song length added to break timer,1,0,0,0,muramasa.png,0,127,"rounddown(LENGTH OF SONG*50,0)",18% of song length added to break timer
128,Order of Ambrosia,The greatest of honors bestowed upon staminadventurers.,Allows user to equip an additional two relics,1,1,0,0,orderofambrosia.png,1,128,0,Allows you to equip two extra relics
129,Godfather's Token,The Godfather of Stamina presents this literal token of his gratitude in thanks for financial contributions to the Stamina Nation.,None,1,0,0,0,godfatherstoken.png,0,129,0,
